"Module"	"Gene1"	"Gene2"
"M1"	"OSM"	"TDRD7"
"M1"	"OSM"	"TINAGL1"
"M1"	"OSM"	"HAO2"
"M1"	"OSM"	"CALB1"
"M1"	"OSM"	"TARBP2"
"M1"	"OSM"	"TAPBP"
"M1"	"OSM"	"ZNF131"
"M1"	"OSM"	"FZD4"
"M1"	"OSM"	"DPYSL3"
"M1"	"OSM"	"MPPED1"
"M1"	"OSM"	"FOLR3"
"M1"	"OSM"	"PTP4A1"
"M1"	"OSM"	"FBL"
"M1"	"OSM"	"CISH"
"M1"	"OSM"	"SNED1"
"M1"	"OSM"	"ANKRD44"
"M1"	"OSM"	"MAP3K1"
"M1"	"OSM"	"HRAS"
"M1"	"OSM"	"POU3F4"
"M1"	"OSM"	"FAM46C"
"M1"	"OSM"	"PDE8B"
"M1"	"OSM"	"MORN2"
"M1"	"OSM"	"HMMR"
"M1"	"OSM"	"CTSK"
"M1"	"RAMP2"	"ARID2"
"M1"	"RAMP2"	"MRPL23"
"M1"	"RAMP2"	"FKBP2"
"M1"	"RAMP2"	"ADAM11"
"M1"	"RAMP2"	"EPPK1"
"M1"	"RAMP2"	"MSL1"
"M1"	"MEGF10"	"UTS2R"
"M1"	"MEGF10"	"RGSL1"
"M1"	"CYFIP2"	"IGF2BP3"
"M1"	"CYFIP2"	"TERT"
"M1"	"CYFIP2"	"KRT27"
"M1"	"KLHL20"	"SLC6A12"
"M1"	"KLHL20"	"UTY"
"M1"	"POLR1B"	"PADI4"
"M1"	"POLR1B"	"MYO18B"
"M1"	"POLR1B"	"CXCR4"
"M1"	"POLR1B"	"CFP"
"M1"	"POLR1B"	"ITGB3"
"M1"	"POLR1B"	"APBB1IP"
"M1"	"POLR1B"	"FOLR3"
"M1"	"ALPI"	"UTY"
"M1"	"FCGR2A"	"PPP1R36"
"M1"	"FCGR2A"	"AQP9"
"M1"	"FCGR2A"	"SOGA3"
"M1"	"FCGR2A"	"WISP1"
"M1"	"FCGR2A"	"SCFD2"
"M1"	"CSNK1G2"	"OLR1"
"M1"	"SRGN"	"APBB1IP"
"M1"	"SRGN"	"NCK1"
"M1"	"SRGN"	"PCSK9"
"M1"	"SRGN"	"SPSB1"
"M1"	"SRGN"	"HOXD4"
"M1"	"SRGN"	"HIST3H3"
"M1"	"SRGN"	"FLCN"
"M1"	"SRGN"	"TONSL"
"M1"	"PPP1R12B"	"SLC6A12"
"M1"	"E2F1"	"KRT27"
"M1"	"FZR1"	"TNFRSF10C"
"M1"	"DSG3"	"UTY"
"M1"	"DSG3"	"SEMG1"
"M1"	"DSG3"	"NFE2"
"M1"	"PDE4B"	"UPK2"
"M1"	"PDE4B"	"EPHA7"
"M1"	"PDE4B"	"DNAJB2"
"M1"	"PDE4B"	"ZCCHC11"
"M1"	"PDE4B"	"CEP97"
"M1"	"PDE4B"	"OGG1"
"M1"	"PDE4B"	"MPPED1"
"M1"	"PDE4B"	"PTP4A1"
"M1"	"PDE4B"	"PBK"
"M1"	"PDE4B"	"FLCN"
"M1"	"TRPA1"	"PCDH10"
"M1"	"TRPA1"	"DNAJC7"
"M1"	"TRPA1"	"NPTXR"
"M1"	"TRPA1"	"WDR12"
"M1"	"TRPA1"	"MYO10"
"M1"	"TRPA1"	"PTP4A1"
"M1"	"TRPA1"	"RFWD3"
"M1"	"TRPA1"	"PLD6"
"M1"	"TRPA1"	"RASSF7"
"M1"	"TRPA1"	"EFNA2"
"M1"	"CREB3"	"ADAM19"
"M1"	"CREB3"	"HOXA3"
"M1"	"CREB3"	"NFE2"
"M1"	"NEIL2"	"NFE2"
"M1"	"SFPQ"	"HIF3A"
"M1"	"SFPQ"	"OLIG1"
"M1"	"SFTPD"	"KRT84"
"M1"	"GFM1"	"TBR1"
"M1"	"MEF2A"	"NNMT"
"M1"	"SOCS3"	"TOP1MT"
"M1"	"SOCS3"	"GHR"
"M1"	"SOCS3"	"RPS21"
"M1"	"SOCS3"	"EPOR"
"M1"	"SOCS3"	"PSD3"
"M1"	"SOCS3"	"DOCK4"
"M1"	"SOCS3"	"PTP4A1"
"M1"	"SOCS3"	"SNCAIP"
"M1"	"SOCS3"	"SELPLG"
"M1"	"SOCS3"	"MAGT1"
"M1"	"NIPSNAP1"	"CCL22"
"M1"	"NIPSNAP1"	"CTSG"
"M1"	"NIPSNAP1"	"EDN1"
"M1"	"NIPSNAP1"	"IL1B"
"M1"	"NIPSNAP1"	"FOLR3"
"M1"	"CTSB"	"UTY"
"M1"	"CTSB"	"FOLR3"
"M1"	"CEP170B"	"UTS2R"
"M1"	"CEP170B"	"AQP9"
"M1"	"BCL2A1"	"PMP22"
"M1"	"BCL2A1"	"RASSF1"
"M1"	"BCL2A1"	"UMOD"
"M1"	"BCL2A1"	"CD247"
"M1"	"BCL2A1"	"CDKN2A"
"M1"	"BCL2A1"	"DCBLD1"
"M1"	"BCL2A1"	"FABP1"
"M1"	"BCL2A1"	"SCGB3A2"
"M1"	"BCL2A1"	"TRIM35"
"M1"	"APH1B"	"CDH8"
"M1"	"SLC2A3"	"MAD2L2"
"M1"	"SLC2A3"	"KDM5B"
"M1"	"SLC2A3"	"TMED4"
"M1"	"SLC2A3"	"IRX4"
"M1"	"SLC2A3"	"FBXO30"
"M1"	"SLC2A3"	"RPL23A"
"M1"	"SLC2A3"	"POLR3B"
"M1"	"SLC2A3"	"CBL"
"M1"	"SLC2A3"	"PHACTR4"
"M1"	"SLC2A3"	"LRRFIP2"
"M1"	"SLC2A3"	"RBBP8"
"M1"	"SLC2A3"	"HOXB6"
"M1"	"SLC2A3"	"SMARCE1"
"M1"	"SLC2A3"	"AP1G2"
"M1"	"SLC2A3"	"MSRB1"
"M1"	"SLC2A3"	"KLHDC9"
"M1"	"SLC2A3"	"PRF1"
"M1"	"SLC2A3"	"MPPED1"
"M1"	"SLC2A3"	"RAB5B"
"M1"	"SLC2A3"	"PTP4A1"
"M1"	"SLC2A3"	"DUSP10"
"M1"	"SLC2A3"	"PPFIA2"
"M1"	"SLC2A3"	"ANKRD44"
"M1"	"SLC2A3"	"DCAF5"
"M1"	"SLC2A3"	"HSPA2"
"M1"	"SLC2A3"	"KRT27"
"M1"	"SLC2A3"	"CCZ1"
"M1"	"SLC2A3"	"RIMBP2"
"M1"	"DCLRE1B"	"SLC6A12"
"M1"	"DCLRE1B"	"FOLR3"
"M1"	"MPZL3"	"SLC22A16"
"M1"	"MPZL3"	"MYO18B"
"M1"	"SYNJ2"	"CD300LD"
"M1"	"SYNJ2"	"NFE2"
"M1"	"AP2A1"	"NR4A1"
"M1"	"PTGER4"	"NFE2"
"M1"	"NOP58"	"NFE2"
"M1"	"RNF10"	"CAMK2A"
"M1"	"GLS2"	"NFE2"
"M1"	"NAA10"	"APBB1IP"
"M1"	"NAA10"	"OLIG1"
"M1"	"NAA10"	"HOXA3"
"M1"	"UTS2R"	"GSK3A"
"M1"	"UTS2R"	"TNFRSF11B"
"M1"	"UTS2R"	"UBP1"
"M1"	"UTS2R"	"NPAS2"
"M1"	"UTS2R"	"DDX4"
"M1"	"UTS2R"	"PAOX"
"M1"	"UTS2R"	"TMEM147"
"M1"	"UTS2R"	"CDIPT"
"M1"	"UTS2R"	"CHAF1A"
"M1"	"UTS2R"	"HELB"
"M1"	"UTS2R"	"TLK2"
"M1"	"UTS2R"	"AP3B1"
"M1"	"UTS2R"	"DPY19L1"
"M1"	"UTS2R"	"MAPK13"
"M1"	"UTS2R"	"TMA16"
"M1"	"MAGEL2"	"CAMK2N2"
"M1"	"MAGEL2"	"PTBP1"
