gene_id	logFC	logCPM	F	PValue	FDR	dataset_name	group_name	comparison_name
ENSG00000277363	-0.37204865781263	3.75904115761767	0.334945367468521	0.571712636341838	1	Adults2	POS_F	baseline_D9
ENSG00000110025	0.193949119318381	0.495544994454783	0.334931530284031	0.571720489393333	1	Adults2	POS_F	baseline_D9
ENSG00000243660	0.222669872826829	3.73041185011019	0.334915090443965	0.571729819821052	1	Adults2	POS_F	baseline_D9
ENSG00000145536	-0.461836141449327	-1.64007983012298	0.334901878509462	0.571737318475725	1	Adults2	POS_F	baseline_D9
ENSG00000162004	-0.581561104465417	6.16829208129038	0.33486258466044	0.571759621537901	1	Adults2	POS_F	baseline_D9
ENSG00000142871	-0.23405834094805	5.33091352280451	0.334845110377971	0.571769540451845	1	Adults2	POS_F	baseline_D9
ENSG00000229944	0.284054783870243	-1.42547219590256	0.334606404981736	0.571905071615667	1	Adults2	POS_F	baseline_D9
ENSG00000261351	-0.162297104881392	-0.0577289422348814	0.334505944286408	0.571962130284326	1	Adults2	POS_F	baseline_D9
ENSG00000247626	-0.0911689709298325	3.65743271885855	0.334418269153163	0.572011936586949	1	Adults2	POS_F	baseline_D9
ENSG00000172164	-0.220913219048747	5.72210655225693	0.334297288571702	0.572080677446864	1	Adults2	POS_F	baseline_D9
ENSG00000157954	0.0561316787915046	6.59953116429608	0.334230161086092	0.572118826354831	1	Adults2	POS_F	baseline_D9
ENSG00000233609	0.327219782097892	-0.683523504311395	0.334178881936091	0.572147972052039	1	Adults2	POS_F	baseline_D9
ENSG00000278922	-0.126846327229227	1.54592639680183	0.334176327029851	0.572149424271314	1	Adults2	POS_F	baseline_D9
ENSG00000249816	0.211892938369637	0.249524364738959	0.334081882021718	0.572203112461585	1	Adults2	POS_F	baseline_D9
ENSG00000272627	0.363610923160424	-1.82122705051294	0.334074148922559	0.572207508871056	1	Adults2	POS_F	baseline_D9
ENSG00000253404	0.396960105525443	-0.961339517470412	0.334001887891012	0.572248593918326	1	Adults2	POS_F	baseline_D9
ENSG00000069712	-0.206897428267525	2.54223423259642	0.333967702232971	0.57226803275448	1	Adults2	POS_F	baseline_D9
ENSG00000255458	0.258269128830983	-0.970557299700883	0.333848918575947	0.572335586604114	1	Adults2	POS_F	baseline_D9
ENSG00000196821	0.0610679865650128	7.88318281441541	0.333830910129114	0.572345829663129	1	Adults2	POS_F	baseline_D9
ENSG00000226321	-0.770659011374392	5.23410066783274	0.333691710792242	0.572425017697245	1	Adults2	POS_F	baseline_D9
ENSG00000167920	0.108452171716753	3.35710229421244	0.333660559893741	0.57244274194146	1	Adults2	POS_F	baseline_D9
ENSG00000166507	0.141694364403255	0.000494432818727015	0.333646228572472	0.57245089655419	1	Adults2	POS_F	baseline_D9
ENSG00000154447	0.0840705177132214	6.26015499973914	0.333629301028656	0.572460528738305	1	Adults2	POS_F	baseline_D9
ENSG00000184451	0.405095192490729	-1.56194723156365	0.333628216864919	0.572461145665068	1	Adults2	POS_F	baseline_D9
ENSG00000114251	-0.149581674037598	4.17413862072395	0.333596436502122	0.572479230394284	1	Adults2	POS_F	baseline_D9
